Title,Artist,First Charted,Top position,Weeks on chart,Lyrics
Everybody Likes To Cha Cha Cha,Sam Cooke ,1959-04-04,31,13,
The Happy Organ,Dave 'Baby' Cortez ,1959-04-04,1,17,
I Go Ape,Neil Sedaka ,1959-04-04,42,8,
Tell Him No,Travis & Bob ,1959-04-04,8,13,
Come Softly To Me,Ronnie Height ,1959-04-04,45,6,
For A Penny,Pat Boone ,1959-04-04,23,11,
Sorry (I Ran All The Way Home),The Impalas ,1959-04-04,2,18,
Yea - Yea (Class Cutter),Dale Hawkins ,1959-04-04,52,6,
Heavenly Lover,Teresa Brewer ,1959-04-04,40,8,
Take A Message To Mary,The Everly Brothers ,1959-04-04,16,13,
Because You're Young,Jimmie Rodgers ,1959-04-04,62,5,
As Time Goes By,Johnny Nash ,1959-04-04,43,11,
The Beat,The Rockin R's ,1959-04-04,57,8,
Poor Jenny,The Everly Brothers ,1959-04-04,22,12,
Guess Who,Jesse Belvin ,1959-04-04,31,13,
The Answer To A Maiden's Prayer,June Valli ,1959-04-04,71,5,
Come To Me,Marv Johnson ,1959-04-04,30,15,
Fried Eggs,The Intruders ,1959-04-04,73,3,
Six Nights A Week,The Crests ,1959-04-04,28,13,
Turn Me Loose,Fabian ,1959-04-04,9,13,
That's Why (I Love You So),Jackie Wilson ,1959-04-04,13,13,
"No Other Arms, No Other Lips",The Four Aces ,1959-04-04,74,5,
Three Stars,Tommy Dee with Carol Kay and the Teen-Aires ,1959-04-04,11,12,
Someone,Johnny Mathis ,1959-04-04,35,13,
Enchanted,The Platters ,1959-04-04,12,15,
Rockin' Crickets,Hot-Toddys featuring Bill Pennell ,1959-04-04,57,11,
Who's That Knocking,The Genies ,1959-04-04,71,6,
Hawaiian War Chant,Billy Vaughn And His Orchestra ,1959-04-04,89,1,
French Foreign Legion,Frank Sinatra ,1959-04-04,61,7,
A House Of Love,Scott Garrett ,1959-04-04,92,1,
Star Love,The Playmates ,1959-04-04,75,4,
Wishful Thinking,Little Anthony And The Imperials ,1959-04-04,79,2,
Raining In My Heart,Buddy Holly ,1959-04-04,88,2,
Almost Grown,Chuck Berry ,1959-04-04,32,13,
I Miss You So,Paul Anka ,1959-04-04,33,9,
Boom-A-Dip-Dip,Stan Robinson ,1959-04-04,83,4,
Yep!,Duane Eddy His Twangy Guitar And The Rebels ,1959-04-04,30,9,
The Chick,Lee and Paul ,1959-04-04,100,1,
That's Why I Cry,Buddy Knox ,1959-01-10,88,2,
Sermonette,Della Reese ,1959-01-10,99,1,
Tell Him No,Dean & Marc ,1959-04-18,42,8,
So Fine,The Fiestas ,1959-04-18,11,16,
Lovey Dovey,Clyde McPhatter ,1959-04-18,49,8,
"Goodbye Jimmy, Goodbye",Kathy Linden ,1959-04-18,11,14,
The Kissing Tree,Billy Grammer ,1959-04-18,60,7,
That's My Little Suzie,Ritchie Valens ,1959-04-18,55,8,
The Walls Have Ears,Patti Page ,1959-04-18,77,4,
Only You,Franck Pourcel's French Fiddles ,1959-04-18,9,16,
I Still Get A Thrill (Thinking Of You),Joni James ,1959-04-18,51,7,
Bonaparte's Retreat,Billy Grammer ,1959-04-18,50,9,
I Think I'm Gonna Kill Myself,Buddy Knox ,1959-04-18,55,6,
77 Sunset Strip,The Big Sound Of Don Ralke ,1959-04-18,69,5,
Jo-Jo The Dog-Faced Boy,Annette ,1959-04-18,73,4,
I've Come Of Age,Billy Storm ,1959-04-18,28,14,
I Never Felt Like This,Jack Scott ,1959-04-18,78,4,
Lonely For You,Gary Stites ,1959-04-18,24,14,
Quiet Village,The Exotic Sounds of Martin Denny ,1959-04-18,4,16,
My Heart Is An Open Book,"Carl Dobkins, Jr. ",1959-04-18,3,24,
Little Queenie,Chuck Berry ,1959-04-18,80,4,
You Can't Be True Dear,The Mary Kaye Trio ,1959-04-18,75,3,
Kansas City,Wilbert Harrison ,1959-04-18,1,16,
The Wang Dang Taffy-Apple Tango (Mambo Cha Cha Cha),Pat Boone ,1959-04-25,62,4,
Endlessly,Brook Benton ,1959-04-25,12,13,
A Teenager In Love,Dion & The Belmonts ,1959-04-25,5,15,
"Kookie, Kookie (Lend Me Your Comb)",Edward Byrnes & Connie Stevens ,1959-04-25,4,13,
Goodnight Irene,Billy Williams ,1959-04-25,75,1,
I Need Your Lovin',Roy Hamilton ,1959-04-25,62,5,
You're So Fine,The Falcons ,1959-04-25,17,20,
Dream Lover,Bobby Darin ,1959-04-25,2,17,
A Touch Of Pink,Jerry Wallace ,1959-04-25,92,2,
I Kneel At Your Throne,Joe Medlin ,1959-04-25,85,4,
I Waited Too Long,LaVern Baker ,1959-04-25,33,11,
Walkin' To Mother's,Ray Anthony and His Orchestra ,1959-04-25,96,1,
I Told Myself A Lie,Clyde McPhatter ,1959-04-25,70,5,
That's All I Want,Bobby Day ,1959-04-25,98,1,
Two Brothers,David Hill ,1959-04-25,90,2,
Pipe Dreams,Jimmy Beck & His Orchestra ,1959-04-25,82,2,
You Can't Get To Heaven On Roller Skates,Betty Johnson ,1959-01-17,99,1,
I'll Sail My Ship Alone,Jerry Lee Lewis And His Pumping Piano ,1959-01-24,93,1,
Little Brass Band,David Seville ,1958-09-06,78,2,
"Volare (Nel Blu, Dipinto Di Blu)",The McGuire Sisters ,1958-09-06,80,1,
Prisoner's Song,Warren Storm ,1958-09-06,81,2,
Old MacDonald,The Chargers ,1958-09-06,95,1,
Pickle Up A Doodle,Teresa Brewer ,1958-09-06,99,1,
The Battle Of New Orleans,Johnny Horton ,1959-06-20,1,21,
Personality,Lloyd Price and His Orchestra ,1959-06-20,2,19,
Tallahassee Lassie,Freddy Cannon ,1959-06-20,6,15,
Lonely Boy,Paul Anka ,1959-06-20,1,15,
Along Came Jones,The Coasters ,1959-06-20,9,12,
Lipstick On Your Collar,Connie Francis ,1959-06-20,5,17,
Frankie,Connie Francis ,1959-06-20,9,15,
I'm Ready,Fats Domino ,1959-06-20,16,11,
Bobby Sox To Stockings,Frankie Avalon ,1959-06-20,8,13,
Bongo Rock,Preston Epps ,1959-06-20,14,13,
Just Keep It Up,Dee Clark ,1959-06-20,18,15,
Crossfire,Johnny And The Hurricanes ,1959-06-20,23,14,
Waterloo,Stonewall Jackson ,1959-06-20,4,16,
My Melancholy Baby,Tommy Edwards ,1959-06-20,26,8,
A Boy Without A Girl,Frankie Avalon ,1959-06-20,10,14,
I Only Have Eyes For You,The Flamingos ,1959-06-20,11,13,
Hushabye,The Mystics ,1959-06-20,20,15,
Little Dipper,The Mickey Mozart Quintet ,1959-06-20,30,10,
This I Swear,The Skyliners ,1959-06-20,26,12,
Ring-A-Ling-A-Lario,Jimmie Rodgers ,1959-06-20,32,8,
The Wonder Of You,Ray Peterson ,1959-06-20,25,19,
The Class,Chubby Checker ,1959-06-20,38,7,
Gidget,Jimmy Darren ,1959-06-20,41,12,
Graduation's Here,The Fleetwoods ,1959-06-20,39,8,
Tall Cool One,The Wailers ,1959-06-20,36,23,
Robbin' The Cradle,Tony Bellus ,1959-06-20,25,26,
There Goes My Baby,The Drifters ,1959-06-20,2,19,
What A Diff'rence A Day Makes,Dinah Washington ,1959-06-20,8,20,
Mona Lisa,Carl Mann ,1959-06-20,25,16,
You Made Me Love You,Nat King Cole ,1959-06-20,45,9,
Margie,Fats Domino ,1959-06-20,51,8,
Tiger,Fabian ,1959-06-20,3,13,
Only Sixteen,Sam Cooke ,1959-06-20,28,10,
So Close,Brook Benton ,1959-06-20,38,7,
Twixt Twelve And Twenty,Pat Boone ,1959-06-20,17,11,
Since You've Been Gone,Clyde McPhatter ,1959-06-20,38,13,
I'm Gonna Change Him,Cathy Carr ,1959-06-20,63,4,
Danny Boy,Sil Austin ,1959-06-20,59,12,
Velvet Waters,The Megatrons ,1959-06-20,51,9,
A String Of Trumpets,The Trumpeteers ,1959-06-20,64,9,
Sweet Chile,Sheb Wooley ,1959-06-20,70,6,
There Is Something On Your Mind,Big Jay McNeely And Band ,1959-06-20,44,16,
M.T.A.,The Kingston Trio ,1959-06-20,15,11,
I Can't Get You Out Of My Heart,Al Martino ,1959-06-20,44,11,
Forty Days,Ronnie Hawkins ,1959-06-20,45,8,
Wonderful You,Jimmie Rodgers ,1959-06-20,40,7,
With My Eyes Wide Open I'm Dreaming,Patti Page ,1959-06-20,59,7,
"One Love, One Heart",The Four Coins ,1959-06-20,82,4,
Old Spanish Town,The Bell Notes ,1959-06-20,76,7,
Kansas City,Hank Ballard And The Midnighters ,1959-06-20,72,7,
I Know,Perry Como ,1959-06-20,47,9,
Flower Of Love,The Crests featuring Johnny Mastro ,1959-06-20,79,6,
Little Boy Blue,Huelyn Duvall ,1959-06-20,88,3,
The Whistling Organ,Dave 'Baby' Cortez ,1959-06-20,61,8,
La Plume De Ma Tante,Hugo & Luigi ,1959-06-20,86,5,
Taboo,Arthur Lyman ,1959-06-20,55,6,
A Prayer And A Juke Box,Little Anthony And The Imperials ,1959-06-20,81,4,
It's Only The Good Times,Tommy Edwards ,1959-06-20,86,3,
The Battle Of New Orleans,Vaughn Monroe ,1959-06-20,87,2,
Forty Miles Of Bad Road,Duane Eddy And The Rebels ,1959-06-20,9,15,
Small World,Johnny Mathis ,1959-06-20,20,15,
High Hopes,Frank Sinatra and a bunch of kids ,1959-06-20,30,17,
With My Eyes Wide Open I'm Dreaming,Enoch Light & The Light Brigade ,1959-06-20,99,1,
Cap And Gown,Marty Robbins ,1959-06-20,45,6,
Summer Dreams,The McGuire Sisters ,1959-06-06,55,7,
"Frankie's Man, Johnny",Johnny Cash ,1959-06-06,57,7,
(I Don't Care) Only Love Me,Steve Lawrence ,1959-06-06,62,4,
I Must Be Dreaming,Nat King Cole ,1959-06-06,69,4,
Lonely Saturday Night,Don French ,1959-06-06,72,3,
White Lightning,George Jones ,1959-06-06,73,5,
Someone To Come Home To,The Ames Brothers ,1959-06-06,78,4,
Talk Of The School,Sonny James ,1959-06-06,85,5,
Young Ideas,Chico Holiday ,1959-06-06,74,6,
Straight Flush,The Frantics ,1959-06-06,91,3,
Mary Ann Thomas,Bobby Freeman ,1959-06-06,90,2,
Hey Little Lucy! (Don'tcha Put No Lipstick On),Conway Twitty ,1959-06-06,87,2,
Yes - Sir - ee,Dodie Stevens ,1959-06-06,79,3,
Like Young,Andre Previn With David Rose ,1959-06-06,46,12,
Pointed Toe Shoes,Carl Perkins ,1959-06-06,93,2,
Cherrystone,Addrisi Brothers ,1959-06-06,62,6,
Jack O'Diamonds,Ruth Brown ,1959-06-06,96,2,
The Search,Dean Reed ,1959-03-07,96,1,
City Lights,Ivory Joe Hunter ,1959-03-07,92,2,
Ballad Of A Girl And Boy,Graduates ,1959-03-14,74,3,
No Regrets,Jimmy Barnes ,1959-03-14,90,2,
Teardrops On Your Letter,Hank Ballard And The Midnighters ,1959-03-14,87,3,
I Can't Sit Down,Marie & Rex ,1959-03-14,94,2,
"Piove (Ciao, Ciao Bambina)",Domenico Modugno ,1959-03-14,97,1,
Chip Off The Old Block,Eddy Arnold ,1959-03-14,97,2,
Oh Why,The Teddy Bears ,1959-03-14,91,2,
Teenage Heaven,Eddie Cochran ,1959-03-21,99,1,
Record Hop Blues,The Quarter Notes ,1959-03-28,82,1,
Jimmy Kiss And Run,Diane Maxwell ,1959-03-28,95,1,
Sweet Annie Laurie,Sammy Turner and The Twisters ,1959-03-28,100,1,
Sleep Walk,Santo & Johnny ,1959-09-26,1,18,
The Three Bells,The Browns ,1959-09-26,1,17,
I'm Gonna Get Married,Lloyd Price ,1959-09-26,3,14,
('Til) I Kissed You,The Everly Brothers ,1959-09-26,4,16,
Sea Of Love,Phil Phillips With The Twilights ,1959-09-26,2,18,
Red River Rock,Johnny And The Hurricanes ,1959-09-26,5,17,
Mack The Knife,Bobby Darin ,1959-09-26,1,26,
Broken-Hearted Melody,Sarah Vaughan ,1959-09-26,7,19,
I Want To Walk You Home,Fats Domino ,1959-09-26,8,13,
Put Your Head On My Shoulder,Paul Anka ,1959-09-26,2,18,
Kissin' Time,Bobby Rydell ,1959-09-26,11,17,
Poison Ivy,The Coasters ,1959-09-26,7,16,
Morgen,Ivo Robic and The Song-Masters ,1959-09-26,13,17,
Just Ask Your Heart,Frankie Avalon ,1959-09-26,7,16,
Teen Beat,Sandy Nelson ,1959-09-26,4,16,
Mr. Blue,The Fleetwoods ,1959-09-26,1,20,
Primrose Lane,Jerry Wallace With The Jewels ,1959-09-26,8,21,
Baby Talk,Jan & Dean ,1959-09-26,10,12,
The Battle Of Kookamonga,Homer And Jethro ,1959-09-26,14,10,
Hey Little Girl,Dee Clark ,1959-09-26,20,15,
What'd I Say (Part I & II),Ray Charles and his Orchestra ,1959-09-26,6,15,
Lavender-Blue,Sammy Turner ,1959-09-26,3,18,
Makin' Love,Floyd Robinson ,1959-09-26,20,18,
The Three Bells (The Jimmy Brown Story),Dick Flood ,1959-09-26,23,8,
"I Loves You, Porgy",Nina Simone ,1959-09-26,18,15,
I Ain't Never,Webb Pierce ,1959-09-26,24,14,
Thank You Pretty Baby,Brook Benton ,1959-09-26,16,14,
Mary Lou,Ronnie Hawkins and The Hawks ,1959-09-26,26,16,
Battle Hymn Of The Republic,The Mormon Tabernacle Choir ,1959-09-26,13,16,
It Was I,Skip And Flip ,1959-09-26,11,16,
Caribbean,Mitchell Torok ,1959-09-26,27,14,
My Own True Love,Jimmy Clanton ,1959-09-26,33,12,
The Angels Listened In,The Crests ,1959-09-26,22,16,
I'm Gonna Be A Wheel Some Day,Fats Domino ,1959-09-26,17,13,
You're Gonna Miss Me,Connie Francis ,1959-09-26,34,10,
I'm A Hog For You,The Coasters ,1959-09-26,38,8,
What Is Love?,The Playmates ,1959-09-26,15,13,
A Worried Man,The Kingston Trio ,1959-09-26,20,11,
Lonely Street,Andy Williams ,1959-09-26,5,16,
A Big Hunk O' Love,Elvis Presley With The Jordanaires ,1959-09-26,1,14,
I Got Stripes,Johnny Cash ,1959-09-26,43,11,
Okefenokee,Freddie Cannon ,1959-09-26,43,9,
The Mummy,Bob McFadden And Dor ,1959-09-26,39,8,
Fools Hall Of Fame,Pat Boone ,1959-09-26,29,9,
My Wish Came True,Elvis Presley With The Jordanaires ,1959-09-26,12,11,
Come On And Get Me,Fabian ,1959-09-26,29,8,
Mona Lisa,Conway Twitty ,1959-09-26,29,12,
See You In September,The Tempos ,1959-09-26,23,14,
I've Been There,Tommy Edwards ,1959-09-26,53,10,
Johnny Reb,Johnny Horton ,1959-09-26,54,8,
So High So Low,LaVern Baker ,1959-09-26,52,10,
The Caterpillar Crawl,The Strangers ,1959-09-26,49,7,
You Were Mine,Fireflies ,1959-09-26,21,16,
Deck Of Cards,Wink Martindale ,1959-09-26,7,17,
You Better Know It,Jackie Wilson ,1959-09-26,37,10,
Midnight Flyer,Nat King Cole ,1959-09-26,51,12,
Like I Love You,Edd Byrnes and Friend ,1959-09-26,42,9,
Got The Feeling,Fabian ,1959-09-26,54,5,
Somethin Else,Eddie Cochran ,1959-09-26,58,9,
True True Happiness,Johnny Tillotson ,1959-09-26,54,9,
On An Evening In Roma,Dean Martin ,1959-09-26,59,13,
Here Comes Summer,Jerry Keller ,1959-09-26,14,13,
Where,The Platters ,1959-09-26,44,9,
Ski King,E.C. Beatty ,1959-09-26,50,6,
Say Man,Bo Diddley ,1959-09-26,20,12,
Linda Lu,Ray Sharpe ,1959-09-26,46,13,
Every Little Thing I Do,Dion & The Belmonts ,1959-09-26,48,8,
Don't You Know,Della Reese ,1959-09-26,2,18,
(Seven Little Girls) Sitting In The Back Seat,Paul Evans and the Curls ,1959-09-26,9,18,
Five Feet High And Rising,Johnny Cash ,1959-09-26,76,3,
Wish It Were Me,The Platters ,1959-09-26,61,7,
Sweeter Than You,Ricky Nelson ,1959-09-26,9,12,
Boogie Bear,Boyd Bennett ,1959-09-26,73,4,
Love Potion No. 9,The Clovers ,1959-09-26,23,17,
I'll Never Fall In Love Again,Johnnie Ray ,1959-09-26,75,6,
Shout - Part 1,The Isley Brothers ,1959-09-26,47,12,
Smile,Tony Bennett ,1959-09-26,73,6,
With Open Arms,Jane Morgan ,1959-09-26,39,11,
Till There Was You,Anita Bryant ,1959-09-26,30,13,
Just As Much As Ever,Bob Beckham ,1959-09-26,32,21,
Leave My Kitten Alone,Little Willie John ,1959-09-26,60,15,
Tucumcari,Jimmie Rodgers ,1959-09-26,32,9,
The Shape I'm In,Johnny Restivo ,1959-09-26,80,3,
Two Fools,Frankie Avalon ,1959-09-26,54,5,
Sal's Got A Sugar Lip,Johnny Horton ,1959-09-26,81,7,
Just A Little Too Much,Ricky Nelson ,1959-09-26,9,13,
Suzie Baby,Bobby Vee and The Shadows ,1959-09-26,77,4,
Six Boys And Seven Girls,Anita Bryant ,1959-09-26,62,6,
The Way I Walk,Jack Scott ,1959-09-26,35,14,
Angel Face,Jimmy Darren ,1959-09-26,47,8,
Plenty Good Lovin',Connie Francis ,1959-09-26,69,7,
In The Mood,Ernie Fields & Orch. ,1959-09-26,4,19,
Chapel Of Dreams,The Dubs ,1959-09-26,74,6,
Heartaches By The Number,Guy Mitchell ,1959-10-31,1,20,
Oh! Carol,Neil Sedaka ,1959-10-31,9,18,
Danny Boy,Conway Twitty ,1959-10-31,10,18,
So Many Ways,Brook Benton ,1959-10-31,6,16,
Misty,Johnny Mathis ,1959-10-31,12,17,
The Enchanted Sea,The Islanders ,1959-10-31,15,13,
Unforgettable,Dinah Washington ,1959-10-31,17,13,
Woo-Hoo,Rock-A-Teens ,1959-10-31,16,12,
Some Kind-A Earthquake,Duane Eddy His Twangy Guitar And The Rebels ,1959-10-31,37,8,
We Got Love,Bobby Rydell ,1959-10-31,6,17,
Torquay,Fireballs ,1959-10-31,39,13,
Living Doll,Cliff Richard and The Drifters ,1959-10-31,30,13,
If I Give My Heart To You,Kitty Kallen ,1959-10-31,34,12,
Dance With Me,The Drifters ,1959-10-31,15,15,
High School U.S.A.,Tommy Facenda ,1959-10-31,28,13,
Believe Me,Royal Teens ,1959-10-31,26,15,
Joey's Song,Bill Haley And His Comets ,1959-10-31,46,12,
Boo Boo Stick Beat,Chet Atkins ,1959-10-31,49,8,
Talk To Me,Frank Sinatra ,1959-10-31,38,11,
I'll Be Seeing You,Tommy Sands ,1959-10-31,51,5,
It Happened Today,The Skyliners ,1959-10-31,59,8,
Poco-Loco,Gene & Eunice ,1959-10-31,48,13,
"First Love, First Tears",Duane Eddy His Twangy Guitar And The Rebels ,1959-10-31,59,9,
If You Don't Want My Lovin',"Carl Dobkins, Jr. ",1959-10-31,67,3,
Tennessee Waltz,Bobby Comstock ,1959-10-31,52,7,
"Darling, I Love You",Al Martino ,1959-10-31,63,6,
There Comes A Time,Jack Scott ,1959-10-31,71,5,
Pretend,Carl Mann ,1959-10-31,57,7,
I Don't Know,Ruth Brown ,1959-10-31,64,6,
The Clouds,The Spacemen ,1959-10-31,41,14,
Running Bear,Johnny Preston ,1959-10-31,1,27,
A Lover's Prayer,Dion & The Belmonts ,1959-10-31,73,3,
Tennessee Waltz,Jerry Fuller ,1959-10-31,63,6,
Be My Guest,Fats Domino ,1959-10-31,8,14,
The Enchanted Sea,The Exotic Sounds of Martin Denny ,1959-10-31,28,8,
Breaking Up Is Hard To Do,Jivin' Gene And The Jokers ,1959-10-31,69,4,
You Mean Everything To Me,The Fleetwoods ,1959-10-31,84,2,
The Hunch,Bobby Peterson Quintet ,1959-10-31,71,7,
Come Into My Heart,Lloyd Price and His Orchestra ,1959-10-31,20,14,
I'll Be Seeing You,Poni-Tails ,1959-10-31,87,3,
Goodbye Charlie,Patti Page ,1959-10-31,90,3,
First Name Initial,Annette With The Afterbeats ,1959-10-31,20,18,
Just To Be With You,The Passions ,1959-10-31,69,10,
Living Doll,David Hill ,1959-10-31,92,2,
I've Been Around,Fats Domino ,1959-10-31,33,9,
Igmoo (The Pride Of South Central High),Stonewall Jackson ,1959-10-31,95,2,
Midnight Stroll,The Revels ,1959-10-31,35,10,
The Hunch,Paul Gayten ,1959-10-31,68,7,
Don't Take The Stars,The Mystics ,1959-10-31,98,2,
My Heart Became Of Age,Annette With The Afterbeats ,1959-10-31,74,3,
There's A Girl,Jan & Dean ,1959-10-31,97,3,
"Ciao, Ciao Bambina",Jacky Noguez And His Musette Orchestra ,1959-09-05,24,12,
Tennessee Stud,Eddy Arnold ,1959-09-05,48,10,
Lonely Guitar,Annette ,1959-09-05,50,11,
Cry,The Knightsbridge Strings ,1959-09-05,53,7,
Mau-Mau,The Wailers ,1959-09-05,68,5,
Ten Thousand Drums,Carl Smith ,1959-09-05,43,9,
Half-Breed,Marvin Rainwater ,1959-09-05,66,7,
I'll Be Satisfied,Jackie Wilson ,1959-09-05,20,12,
Katy Too,Johnny Cash And The Tennessee Two ,1959-09-05,66,8,
Ragtime Cowboy Joe,David Seville And The Chipmunks ,1959-09-05,16,9,
Gee,George Hamilton IV ,1959-09-05,73,7,
Miami,Eugene Church ,1959-09-05,67,5,
A Girl's Work Is Never Done,The Chordettes ,1959-09-05,89,3,
Betty My Angel,Jerry Fuller ,1959-09-05,90,2,
Twice As Nice,Clyde McPhatter ,1959-09-05,91,2,
I Cried,Joe Damiano ,1959-09-05,91,3,
Sweet Bird Of Youth,Nat King Cole ,1959-09-05,96,2,
Back In The U.S.A.,Chuck Berry ,1959-06-27,37,8,
Remember When,The Platters ,1959-06-27,41,9,
Gotta New Girl,Bobby Day ,1959-06-27,82,1,
I Love An Angel,Little Bill and The Bluenotes ,1959-06-27,66,6,
"Oh, What A Fool",The Impalas ,1959-06-27,86,5,
Reveille Rock,Johnny And The Hurricanes ,1959-11-21,25,13,
Always,Sammy Turner ,1959-11-21,19,12,
You Got What It Takes,Marv Johnson ,1959-11-21,10,22,
"(If You Cry) True Love, True Love",The Drifters ,1959-11-21,33,11,
Wont'cha Come Home,Lloyd Price and His Orchestra ,1959-11-21,43,10,
I Dig Girls,Bobby Rydell ,1959-11-21,46,6,
Scarlet Ribbons (For Her Hair),The Browns ,1959-11-21,13,14,
Marina,Rocco Granata and the International Quintet ,1959-11-21,31,11,
The Big Hurt,Miss Toni Fisher ,1959-11-21,3,17,
Tiny Tim,LaVern Baker ,1959-11-21,63,9,
Smooth Operator,Sarah Vaughan ,1959-11-21,44,9,
The Best Of Everything,Johnny Mathis ,1959-11-21,62,5,
I'm Movin' On,Ray Charles and his Orchestra ,1959-11-21,40,10,
Uh! Oh! Part 2,The Nutty Squirrels ,1959-11-21,14,12,
Fancy Nancy,Skip And Flip ,1959-11-21,71,5,
You Went Back On Your Word,Clyde McPhatter ,1959-11-21,72,3,
El Paso,Marty Robbins ,1959-11-21,1,22,
One More Chance,Rod Bernard ,1959-11-21,74,9,
Happy Anniversary,The Four Lads ,1959-11-21,77,5,
Starry Eyed,Gary Stites ,1959-11-21,77,7,
Hound Dog Man,Fabian ,1959-11-21,9,15,
Happy Anniversary,Jane Morgan ,1959-11-21,57,9,
Wheel Of Fortune,The Knightsbridge Strings ,1959-11-21,88,3,
"There, I've Said It Again",Sam Cooke ,1959-11-21,81,5,
Old Shep,Ralph DeMarco ,1959-11-21,91,2,
Goodnight My Love (Pleasant Dreams),Ray Peterson ,1959-11-21,64,6,
Gilee,Sonny Spencer ,1959-11-21,82,4,
Honestly And Truly,Tommy Edwards ,1959-11-21,65,8,
Marina,Jacky Noguez And His Orchestra ,1959-11-21,87,3,
God Bless America,Connie Francis ,1959-11-21,36,11,
(New In) The Ways Of Love,Tommy Edwards ,1959-11-21,47,9,
I'll Walk The Line,Don Costa And His Orchestra And Chorus ,1959-11-21,59,6,
So Young,Clyde Stacy ,1959-11-21,99,2,
Don't Tell Me Your Troubles,Don Gibson ,1959-09-19,85,3,
Fog Cutter,The Frantics ,1959-09-19,93,1,
Private Eye,The Olympics ,1959-09-19,95,1,
One More Sunrise (Morgen),Leslie Uggams ,1959-09-19,98,1,
I Ain't Never,The Four Preps ,1959-09-19,79,2,
Don't Destroy Me,Crash Craddock ,1959-11-14,94,1,
Why,Frankie Avalon ,1959-12-26,1,16,
Way Down Yonder In New Orleans,Freddie Cannon ,1959-12-26,3,15,
It's Time To Cry,Paul Anka ,1959-12-26,4,15,
Among My Souvenirs,Connie Francis ,1959-12-26,7,15,
This Friendly World,Fabian ,1959-12-26,12,13,
Pretty Blue Eyes,Steve Lawrence ,1959-12-26,9,18,
I Wanna Be Loved,Ricky Nelson ,1959-12-26,20,11,
Tear Drop,Santo & Johnny ,1959-12-26,23,11,
Smokie - Part 2,Bill Black's Combo ,1959-12-26,17,12,
Sandy,Larry Hall ,1959-12-26,15,15,
"Go, Jimmy, Go",Jimmy Clanton ,1959-12-26,5,16,
Mighty Good,Ricky Nelson ,1959-12-26,38,9,
Talk That Talk,Jackie Wilson ,1959-12-26,34,12,
Uh! Oh! Part 1,The Nutty Squirrels ,1959-12-26,45,6,
Marina,Willy Alberti ,1959-12-26,42,8,
Not One Minute More,Della Reese ,1959-12-26,16,11,
The Village Of St. Bernadette,Andy Williams ,1959-12-26,7,13,
A Year Ago Tonight,The Crests ,1959-12-26,42,10,
How About That,Dee Clark ,1959-12-26,33,11,
What About Us,The Coasters ,1959-12-26,47,10,
The Chipmunk Song (Christmas Don't Be Late),David Seville And The Chipmunks ,1959-12-26,39,15,
Beyond The Sunset,Pat Boone ,1959-12-26,71,5,
Just Come Home,Hugo & Luigi ,1959-12-26,35,9,
Do-Re-Mi,Mitch Miller ,1959-12-26,70,4,
The Happy Reindeer,"Dancer, Prancer And Nervous ",1959-12-26,34,6,
Climb Ev'ry Mountain,Tony Bennett ,1959-12-26,74,5,
We Told You Not To Marry,Titus Turner ,1959-12-26,83,6,
Lucky Devil,"Carl Dobkins, Jr. ",1959-12-26,25,17,
Baciare Baciare (Kissing Kissing),Dorothy Collins ,1959-12-26,43,10,
Run Red Run,The Coasters ,1959-12-26,36,8,
I Don't Know What It Is,The Bluenotes ,1959-12-26,61,9,
"Shimmy, Shimmy, Ko-Ko-Bop",Little Anthony And The Imperials ,1959-12-26,24,16,
The Little Drummer Boy,Johnny Cash ,1959-12-26,63,3,
Swingin' On A Rainbow,Frankie Avalon ,1959-12-26,39,6,
Let's Try Again,Clyde McPhatter ,1959-12-26,48,8,
This Time Of The Year,Brook Benton ,1959-12-26,66,5,
Candy Apple Red,Bonnie Guitar ,1959-12-26,97,2,
If I Had A Girl,Rod Lauren ,1959-12-26,31,10,
Sweet Nothin's,Brenda Lee ,1959-12-26,4,24,
Teen Angel,Mark Dinning ,1959-12-26,1,18,
Where Or When,Dion & The Belmonts ,1960-01-30,3,16,
